City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Other Cities,23.76,32.93,0.97,2.71,1.05,2.76,0.21,10.7,5.94,0.43,1.09,1.52,33.0
Thiruvananthapuram,17.55,45.48,2.88,6.46,5.73,2.47,0.9,6.0,31.62,1.01,2.76,0.82,58.0
Lucknow,54.98,97.965,8.07,22.05,18.16,12.2,1.11,5.81,17.6,0.93,11.9,0.82,84.0
Bengaluru,24.23,110.24,9.0,25.35,6.19,15.13,0.51,4.65,13.14,0.5783333333333334,1.12,0.82,69.0
Hyderabad,66.84,155.11,9.3,56.49,37.18,24.19,0.91,19.6,52.7,5.18,33.63,8.14,146.0
Delhi,113.2,260.46,30.2,49.25,75.03,26.14,1.74,21.2,63.88,6.18,16.14,2.02,334.0
Bengaluru,48.41,40.74,8.0,19.11,20.07,10.48,0.82,5.11,25.41,0.42,1.59,0.82,67.0
Mumbai,11.2,42.66,24.49,6.59,28.82,6.16,0.29,10.62,16.25,2.83,1.44,0.45,51.0
Lucknow,46.78,97.965,18.56,34.22,6.24,8.91,1.25,1.27,23.67,0.46,5.8175,0.82,97.0
Visakhapatnam,29.328000000000003,59.31,1.954,1.7626470588235321,0.0,0.22,0.0,13.106,10.754,0.0,0.0,0.0,117.33004926108374
Amritsar,26.4,83.14,19.15,12.31,29.03,12.12,0.62,11.35,30.35,1.53,1.92,2.0,108.0
Bengaluru,66.34,123.11,7.59,29.77,27.39,17.39,0.84,4.97,61.68,0.37,1.79,0.82,150.0
Chennai,10.39,113.28934782608695,6.91,11.18,16.53,26.68,0.67,4.74,42.2,0.22,0.0,0.82,70.0
Chennai,16.58,48.55,5.53,10.66,16.2,65.49,0.97,10.56,22.97,0.1,0.5,0.82,70.0
Lucknow,51.28,97.965,6.61,14.26,13.066857142857142,8.91,1.15,4.08,17.81,1.39,2.93,0.82,97.0
Lucknow,150.97,97.965,12.13,58.75,40.0,7.06,1.6,9.54,29.87,0.24,1.46,0.82,274.0
Delhi,141.39,157.01,21.95,38.23,42.71,36.38,9.29,9.43,36.86,2.02,11.23,10.87,281.0
Thiruvananthapuram,15.94,37.14,2.88,4.3,4.58,2.28,2.73,6.19,35.69,1.01,2.76,0.82,114.0
Other Cities,142.69,293.03,5.63,11.25,16.88,1.5,1.27,16.61,11.29,0.0,0.0,6.08,312.0
Visakhapatnam,30.9,59.7,2.37,22.46,13.88,12.96,0.84,1.62,14.21,1.61,3.94,0.85,67.0
Hyderabad,53.51,173.04,12.27,42.5,13.91,36.91,0.19,19.01,42.89,0.17,1.46,0.43,143.0
Jaipur,41.72,113.38,6.15,19.03,21.74,15.46,0.61,9.51,46.82,0.21,2.41,0.82,98.0
Bengaluru,31.91,88.8,6.66,24.31,24.52,15.95,0.92,5.41,50.77,1.18,2.57,0.82,88.0
Other Cities,24.05,70.29,22.82,8.36,31.17,7.41,1.2,7.27,1.21,0.4,0.49,0.87,84.0
Other Cities,69.51,152.91,10.61,36.45,47.0,21.4,0.74,12.95,44.6,19.39,28.77,2.03,143.0
Thiruvananthapuram,39.67,67.61,0.94,5.78,3.49,4.29,1.83,10.05,35.31,1.01,2.76,0.82,95.0
Patna,71.67,158.08,16.52,49.33,40.39,49.8,0.57,9.34,26.08,0.07,0.66,0.2,116.25
Visakhapatnam,19.93,33.15,10.92,20.31,18.05,11.57,0.94,15.79,35.97,3.58,6.16,4.18,90.0
Bengaluru,114.92,87.12,24.01,31.99,0.0,24.44,0.82,4.8,15.86,1.44,2.18,0.82,135.0
Visakhapatnam,28.18,95.94,5.96,25.99,18.67,8.88,0.59,8.67,18.53,0.94,1.5,0.16,107.0
Delhi,46.65,103.84,17.92,16.56,10.14,46.35333333333333,0.42,4.817586206896552,24.84,0.14,0.0,0.039,106.0
Visakhapatnam,54.05,115.06,4.25,31.7,20.32,12.93,0.65,8.25,25.26,4.19,6.07,2.04,116.0
Amritsar,17.41,41.49,9.36,9.96,17.13,10.51,0.35,12.07,14.03,3.58,1.09,8.2,47.0
Gurugram,223.29,359.8,14.04,56.89,45.76,39.69,1.84,54.08,40.94,2.01,6.03,10.64,391.0
Hyderabad,52.88,118.54,6.74,48.93,29.9,23.72,0.84,12.88,46.88,2.27,13.04,2.42,113.0
Delhi,167.54,293.68,26.14,65.44,52.4,48.68,0.98,21.24,82.93,1.26,4.94,0.06,345.0
Chennai,82.44,48.55,7.78,17.92,20.16,83.9942718446602,0.27,7.02,54.36,0.11,0.05,0.82,157.0
Thiruvananthapuram,39.22,79.24,0.9,4.18,2.96,2.57,0.82,1.44,47.12,1.01,2.76,0.82,79.0
Ahmedabad,48.12,141.54,7.14,20.3,27.45,16.645,7.14,6.77,12.78,1.22,3.39,0.26,173.0
Delhi,48.5,96.78,5.47,38.37,81.25,43.97,1.07,7.74,52.21,0.89,3.04,2.718455284552846,193.0
Mumbai,25.5,58.53,123.26,8.94,105.2715053763441,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Delhi,42.06,72.38,17.6,27.63,30.0,30.05,1.06,9.96,26.15,2.11,29.86,0.79,89.0
Amritsar,80.09,134.52,10.82,11.5,20.77,34.63,0.2,2.59,36.855000000000004,4.72,1.2,2.11,155.0
Lucknow,157.85,97.965,26.55,59.32,49.67,32.46,1.23,10.24,29.28,3.41,10.92,0.82,320.0
Bengaluru,41.73,52.37,11.87,29.69,27.37,23.061794871794874,1.02,3.86,19.04,0.17,0.61,0.82,89.0
Delhi,184.06,497.37,44.16,58.15,75.98,61.89,13.78,9.13,40.91,4.79,8.98,12.44,391.0
Amritsar,24.63,44.26,40.95,26.07,35.88,83.09,0.2,4.37,26.3,3.32,0.84,10.17,60.0
Visakhapatnam,18.77,52.17,6.65,25.22,18.82,5.64,0.11,8.52,46.99,3.88,9.99,1.17,84.0
Gurugram,177.67,395.4,5.5,7.8,19.257699386503067,39.69,0.9,5.67,14.05,2.56,25.56,10.64,335.0
Mumbai,30.86,77.24,10.93,11.34,21.67,11.97,0.5,8.32,31.58,5.05,1.44,0.45,91.0
Other Cities,42.67,74.46,2.58,9.62,12.19,14.54,2.36,12.53,19.24,2.03,0.0,19.848750000000003,106.0
Amritsar,28.73,76.37,17.59,10.65,25.98,12.21,0.55,13.47,35.215,1.3,1.1,8.72,80.0
Delhi,128.51,365.67,46.31,51.94,29.59,33.99,0.83,24.38,28.61,4.41,7.75,0.0,400.0
Jaipur,63.37,124.86,11.3,34.44,39.64,17.76,0.95,10.25,67.92,0.86,6.74,0.82,154.0
Other Cities,31.35,63.08,23.07,8.01,31.08,7.37,1.54,29.04,11.31,0.0,0.0,2.72,96.0
Other Cities,31.23,117.92,6.99,31.22,0.0,8.69,0.0,4.35,20.91,0.0,0.0,0.1,146.0
Other Cities,26.73,38.02,47.78,5.88,0.89,13.99,0.15,8.0,31.11,0.01,0.0,2.73,55.0
Jaipur,41.85,109.13,5.97,26.0,26.2,14.87,0.71,9.48,51.98,0.6,2.83,0.82,104.0
Lucknow,86.06,97.965,12.99,105.89,59.62,24.74,1.29,8.89,35.92,0.52,2.28,0.82,261.0
Amritsar,20.71,72.89,17.35,11.81,26.87,12.14,0.82,6.74,32.77,1.43,1.75,2.0,75.0
Lucknow,263.23,97.965,21.02,11.61,4.22,8.91,3.95,7.0,56.99,0.32,0.95,0.82,381.0
Bengaluru,17.24,55.7,5.42,16.23,19.26,8.74,0.76,5.8,29.35,0.64,1.42,0.82,58.0
Lucknow,256.7,97.965,16.99,52.84,22.285238095238093,8.91,1.37,9.56,28.08,3.86,10.48,0.82,386.0
Patna,244.25,158.08,17.91,36.81,20.69,49.8,2.51,38.89,43.82,0.57,4.02,1.47,365.0
Bengaluru,42.19,131.75,4.07,25.22,0.0,28.36,1.46,6.85,22.58,1.85,1.74,0.82,119.0
Hyderabad,64.35,101.48,11.68,50.97,16.75,45.17,0.33,44.21,56.45,0.09,2.43,0.95,117.0
Gurugram,66.24,174.95,20.85,18.99,27.46,39.69,0.31,8.07,30.34,0.0,0.0,10.64,154.0
Ahmedabad,46.79,148.0,14.31,93.27,61.82,16.645,14.31,131.04,56.31,15.21,82.4,11.95,344.0
Bengaluru,34.18,318.02,3.97,17.37,11.52,19.5,1.03,2.2,58.76,1.56,0.9,0.82,102.0
Bengaluru,36.4,92.9,14.06,35.7,36.91,12.47,0.96,5.06,41.82,0.48,1.57,0.82,85.0
Bengaluru,26.99,47.37,5.7,21.64,21.49,11.74,0.66,3.58,23.67,0.75,1.6,0.82,58.0
Chennai,23.0,48.55,10.71,17.59,27.4,29.41,0.98,8.25,15.45,0.09,0.28,0.82,80.0
Visakhapatnam,26.19,68.03,10.22,26.87,22.6,5.44,0.61,3.32,17.99,1.7,3.72,0.66,72.0
Lucknow,78.3,97.965,7.48,23.23,18.11,17.9,1.4,6.72,47.31,0.61,32.61,0.82,164.0
Delhi,34.35,92.58,5.47,16.94,14.73,29.4,0.78,10.84,48.72,1.55,14.6,0.19,110.0
Ahmedabad,81.2705,141.54,144.52042253521125,25.447154929577465,41.9865,16.645,144.52042253521125,63.283718309859154,20.295,0.0,0.0,0.0,144.03812316715542
Hyderabad,76.0,93.0,34.35,33.56,67.91,24.94,1.3,11.04,35.28,0.24792792792792795,2.0675675675675675,1.9162162162162164,147.0
Jaipur,48.46,124.35,18.39,47.46,56.52,47.18,0.91,13.05,37.9,5.34,16.76,0.82,126.0
Other Cities,30.06,40.09,5.18,14.44,23.96,12.78,0.56,16.14,30.94,0.93,9.68,0.12,53.0
Hyderabad,43.69,89.53,6.25,36.45,24.05,14.45,0.51,6.77,27.22,2.99,37.23,5.4,92.0
Hyderabad,79.52,97.83,5.14,14.89,18.53,10.38,1.26,17.09,61.51,1.78,7.98,1.53,176.0
Thiruvananthapuram,20.1,49.86,1.38,4.67,2.58,1.56,0.62,1.22,32.62,1.01,2.76,0.82,70.0
Ahmedabad,121.1144827586207,141.54,7.081379310344828,31.70310344827586,38.7751724137931,16.645,7.081379310344828,25.177241379310345,46.55137931034483,8.891379310344828,19.29103448275862,4.022068965517241,349.30042918454933
Delhi,89.09,194.71,44.43,68.3,105.76,32.26,1.35,15.11,89.95,1.8,11.46,0.0,236.0
Hyderabad,74.78,134.84,3.74,36.07,21.92,11.93,0.68,5.85,36.7,2.23,11.58,2.9,153.0
Jorapokhar,104.28,180.63,9.44,10.23,23.85,6.34,0.0,68.96,16.73,1.01,2.76,0.82,238.0
Thiruvananthapuram,36.27,62.33,8.88,19.56,17.58,13.96,1.0,8.28,41.08,1.01,2.76,0.82,69.0
Visakhapatnam,51.09,114.01,18.01,47.2,39.76,16.05,0.59,10.01,28.8,7.01,20.99,3.29,116.0
Mumbai,25.5,58.53,123.26,8.94,23.55,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Delhi,55.19,179.42,27.91,35.49,61.81,23.76,1.04,12.97,52.24,3.09,7.72,6.26,199.0
Visakhapatnam,33.02,72.5,1.64,19.44,2.73,0.14,0.75,5.84,89.53,2.7,4.62,0.62,130.0
Amritsar,31.79,96.3,66.62,59.83,141.5,15.06,0.82,2.56,13.11,11.53,7.19,6.0,149.0
Gurugram,44.35,200.21408695652175,18.06,20.25,23.71,39.69,0.41,5.57,9.5,2.16,4.5965399239543725,10.64,77.0
Jaipur,105.56,203.48,18.42,22.34,40.95,42.12,0.8,9.12,24.99,0.04,0.84,0.82,275.0
Delhi,67.8,155.41,8.79,32.8,25.93,28.73,1.03,18.96,62.34,1.92,15.99,0.16,196.0
Patna,39.48,158.08,9.32,25.18,12.18,49.8,1.65,42.33,40.94,1.22,7.78,5.51,108.0
Visakhapatnam,38.25,77.84,4.34,33.05,19.33,11.28,1.1,1.23,49.63,4.33,7.0,4.62,102.0
Lucknow,196.62,97.965,19.0,56.08,44.54,53.78,2.03,7.24,28.32,1.79,1.16,0.82,362.0
Ahmedabad,31.94,141.54,9.5,7.84,17.34,16.645,9.5,16.87,14.27,1.12,3.59,0.65,226.0
Mumbai,25.5,58.53,123.26,8.94,24.29,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Thiruvananthapuram,28.44,64.05,2.8,8.62,6.84,3.08,0.81,7.36,41.8,1.01,2.76,0.82,73.0
Visakhapatnam,40.99,71.42,4.2,18.21,13.03,10.59,0.96,34.07,87.04,4.04,4.68,1.77,105.0
Jaipur,70.12,124.92,2.88,27.79,23.93,19.01,0.53,7.17,55.8,1.74,2.3,0.82,280.0
Amritsar,74.3,134.46,12.55,8.61,21.15,4.99,0.61,5.77,38.82,0.76,2.76,5.8,127.0
Jaipur,29.54,74.71,12.06,20.9,28.59,16.55,0.82,10.09,20.84,0.93,12.88,0.82,79.0
Patna,114.42,158.08,74.17,29.37,103.6,49.8,2.2,7.21,8.04,0.37,2.04,1.02,253.0
Patna,27.84,158.08,17.07,56.03,28.32,49.8,0.92,39.76,37.84,0.93,5.52,4.12,83.0
Hyderabad,17.31,78.58,14.07,46.38,14.55,15.98,0.06,10.87,36.63,0.02,0.43,0.06,82.0
Chennai,35.62,48.55,12.15,18.88,18.07,82.05,0.58,10.98,9.19,0.06,0.05,0.82,77.0
Lucknow,24.02,97.965,2.48,8.93,4.22,8.91,6.72,10.03,28.94,0.1,0.19,0.82,136.0
Gurugram,69.82,166.21,35.08,25.16,43.18,39.69,1.89,11.29,23.02,1.99,6.01,10.64,165.0
Visakhapatnam,64.67,112.79,12.26,56.35,37.63,14.86,1.13,15.17,43.97,8.0,11.6,11.21,116.0
Bengaluru,30.65,70.46,7.08,15.68,14.94,6.46,25.7,12.69,36.67,296.55,55.15,0.82,91.0
Bengaluru,23.01,33.85,5.6,27.98,22.16,49.756581196581195,1.02,4.27,26.48,0.3,1.22,0.82,74.0
Amritsar,112.36,210.37,8.0,28.77,36.76,3.76,1.41,3.31,20.73,7.2,9.25,11.68,235.0
Mumbai,25.5,58.53,123.26,8.94,97.02490322580645,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Amritsar,58.0,153.79,17.38392156862745,11.72,13.274901960784312,13.1,1.04,5.09,22.32078431372549,2.186078431372549,3.2852941176470587,1.9658823529411764,93.6
Hyderabad,65.1,126.51,5.75,39.7,25.41,24.56,0.92,9.12,43.58,3.74,26.83,11.61,132.0
Ahmedabad,108.81014705882353,141.54,104.69732394366198,21.765352112676055,35.78779411764706,16.645,104.69732394366198,64.12845070422534,24.569117647058825,0.0,0.0,0.0,207.09970674486803
Delhi,285.71,412.35,112.39,114.11,63.07,55.83,1.16,30.47,48.81,6.3,22.82,0.0,494.0
Amritsar,39.74,72.35,47.31,31.09,23.64,41.2,0.0,6.7,10.97,4.1025,3.29875,1.01875,143.0
Mumbai,49.19,118.26,22.95,35.06,57.99,15.33,1.24,14.7,29.97,3.14,1.44,0.45,121.0
Thiruvananthapuram,17.08,44.56,3.12,13.06,9.49,2.71,0.74,5.87,27.3,1.01,2.76,0.82,53.0
Delhi,66.74,189.28,14.43,34.14,42.86,37.69,1.02,7.65,64.55,1.19,1.84,0.0,161.0
Delhi,81.81,164.56,18.2,44.06,58.92,37.84,5.94,21.44,59.29,2.64,10.67,2.37,295.0
Jorapokhar,217.13,111.91,7.98,9.82,23.85,6.75,0.39,21.08,36.24,1.01,2.76,0.82,106.0
Ahmedabad,87.2633620689655,141.54,8.85228448275862,30.629827586206897,39.476379310344825,16.645,8.85228448275862,16.032931034482758,42.512284482758616,5.474784482758621,11.878275862068964,2.4765517241379316,319.73390557939916
Lucknow,144.61,97.965,9.21,40.14,12.7,8.91,1.57,4.21,33.68,2.98,5.0,0.82,256.0
Bengaluru,36.92,95.71,13.39,34.8,6.17,38.42,0.55,4.92,21.69,0.47,1.31,0.82,88.0
Jaipur,20.77,49.09,9.13,20.3,29.42,20.57,0.58,9.32,33.19,0.67,3.18,0.82,67.0
Delhi,69.51,136.67,14.05,23.77,30.29,36.77,7.89,4.97,27.07,3.23,8.67,7.55,240.0
Chennai,44.9,48.55,3.28,15.34,15.0,36.428333333333335,0.25,50.51,30.37,0.06,0.06,0.82,81.0
Amritsar,25.91,67.56,10.58,8.44,23.64,11.97,0.69,6.48,8.18,2.52,1.09,20.39,69.0
Mumbai,25.5,58.53,123.26,8.94,13.3,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Patna,91.11746987951807,158.08,6.289277108433735,21.41530120481928,23.313253012048193,49.8,0.0,5.944698795180723,18.41855421686747,0.0,0.0,0.0,197.74418604651163
Delhi,136.22,280.47,44.56,57.11,77.4,41.89,2.1,17.53,71.44,2.86,8.42,0.0,347.0
Visakhapatnam,76.86,123.73,3.89,23.54,15.42,13.1,0.98,4.77,105.22,3.72,5.78,1.95,148.0
Delhi,51.4,91.81,15.68,44.4,157.69,33.42,0.94,10.53,44.93,1.68,5.46,3.1234959349593496,198.0
Gurugram,186.96,401.91,61.09,14.73,68.91,39.69,1.89,11.09,19.09,2.261428571428571,5.099847908745247,10.64,345.0
Thiruvananthapuram,14.83,30.69,0.77,2.7,1.62,1.27,0.8,1.22,15.78,1.01,2.76,0.82,52.0
Other Cities,46.67,62.62,1.06,32.5,33.56,19.41,0.28,9.08,34.4,0.01,0.0,0.1,81.0
Hyderabad,76.5,157.71,11.3,49.16,34.49,17.3,0.76,9.93,40.13,3.22,20.89,4.08,155.0
Mumbai,25.5,58.53,123.26,8.94,139.88,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Jorapokhar,63.25,100.36,23.61,9.95,23.85,9.18,1.41,32.52,46.48,1.01,2.76,0.82,116.0
Bengaluru,19.03,49.62,23.91,30.55,41.59,23.55,0.83,7.87,11.82,0.39,2.78,0.82,74.0
Other Cities,19.26,26.95,1.92,48.04,29.73,1.8,0.43,6.12,11.1,0.0,0.0,1.08,35.0
Thiruvananthapuram,18.85,37.62,5.44,8.86,12.09,4.39,0.47,5.79,51.56,1.01,2.76,0.82,61.0
Lucknow,742.67,97.965,3.71,14.16,4.14,8.91,15.62,84.01111111111112,35.58,2.36,3.79,0.82,607.0
Patna,12.95,47.56,18.76,12.85,13.99,4.97,0.37,8.38,55.78,1.44,2.71,2.29,105.0
Chennai,25.55,48.55,8.62,13.88,22.5,42.52,1.01,17.84,42.25,0.03,0.0,0.82,101.0
Delhi,40.9,80.4,20.91,23.44,29.51,31.34,0.87,9.81,23.36,1.95,33.74,0.15,116.0
Bengaluru,23.06529411764706,96.92,5.94,26.81,31.9,43.7408547008547,1.0,3.0,71.68,0.0,0.76,0.82,107.0
Ahmedabad,33.4278448275862,141.54,11.668663793103448,28.922931034482758,40.59155172413793,16.645,11.668663793103448,1.4901724137931005,36.08866379310345,0.041163793103448754,0.08931034482758449,0.018620689655172384,272.71244635193136
Mumbai,25.5,58.53,123.26,8.94,17.12,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Mumbai,25.5,58.53,123.26,8.94,57.49808602150537,7.21,0.0,193.86,17.24,0.0,0.0,0.0,73.0
Hyderabad,13.75,45.45,8.57,22.7,7.61,9.17,0.07,3.03,57.96,0.01,0.26,0.03,109.0
Patna,67.0,158.08,5.81,23.4,17.82,49.8,0.27,7.53,16.44,0.04,0.51,0.08,96.93023255813955
Jaipur,89.21,137.5,12.21,50.37,37.68,67.66,0.31,8.54,0.87,0.0,0.76,0.82,244.0
Hyderabad,11.98,28.35,6.15,18.71,14.38,22.8,0.31,6.15,14.52,0.68,3.91,0.37,47.0
Hyderabad,15.64,44.78,4.72,21.03,14.68,12.57,0.32,5.87,15.58,0.44,4.52,0.54,54.0
Chennai,52.82,14.82,13.07,25.52,31.66,54.48,0.71,5.45,42.93,1.49,3.29,0.82,105.0
Chennai,26.7,48.55,6.36,11.22,12.31,129.31504854368933,1.21,5.12,20.89,0.73,2.43,0.82,142.0
Chennai,86.94,48.55,3.08,17.09,9.17,64.94990291262137,0.18,7.5,61.8,0.05,0.03,0.82,276.0
Patna,129.04,158.08,19.79642857142857,61.825,81.62142857142857,49.8,1.1835714285714285,2.677142857142857,33.052142857142854,0.11571428571428571,0.4757142857142857,0.105,268.25
Hyderabad,14.22,52.43222222222222,10.44,17.92,28.36,14.196944444444444,0.64,10.13,15.53,0.22,1.25,0.17,92.0
Jorapokhar,21.2343220338983,26.67,8.62,9.19,23.85,6.26,1.48,4.6,4.47,1.01,2.76,0.82,98.0
Delhi,73.33,178.07,46.44,47.15,67.04,38.24,1.37,20.1,34.41,3.76,31.74,2.24,158.0
Gurugram,120.47,395.4,14.41,13.23,14.99,39.69,1.69,2.89,1.55,0.86,8.63,10.64,202.0
Jorapokhar,217.13,179.33,6.67,7.17,23.85,6.69,0.4,30.85,10.89,1.01,2.76,0.82,106.0
Amritsar,87.04,179.58,7.47,29.9,37.38,3.65,1.42,3.54,18.71,4.76,8.49,5.67,232.0
Thiruvananthapuram,9.63,21.86,0.66,2.97,6.73,1.78,0.75,1.55,15.9,1.01,2.76,0.82,54.0
Hyderabad,48.12,93.0,9.4,11.3,20.51,24.94,0.79,9.16,46.28,0.36522522522522527,1.5113513513513515,8.284324324324325,120.0
Hyderabad,299.25,93.0,7.96,12.06,19.81,24.94,0.73,6.81,15.34,0.8,3.84,0.01,316.0
Amritsar,45.32,81.67,9.43,9.85,19.25,12.0,0.91,7.72,18.773333333333333,2.27,2.14,2.0,85.0
Visakhapatnam,48.33,136.39,11.32,59.48,40.83,16.1,0.77,17.88,37.29,5.89,12.9,3.35,131.0
Ahmedabad,66.84497058823528,141.54,165.38014084507043,27.375718309859153,45.23344117647059,16.645,165.38014084507043,62.841239436619716,18.056176470588234,1.8581818181818184,6.825454545454545,0.4036363636363636,111.00586510263929
Delhi,148.29,301.61,60.16,68.24,105.17,33.05,2.07,11.98,84.74,7.38,24.65,1.8900000000000001,356.0
Lucknow,77.06,97.965,5.88,41.29,26.55,15.3,1.12,7.18,38.34,17.75,26.69,0.82,144.0
Jaipur,58.11,144.21,38.8,31.85,62.74,26.98,1.57,18.46,34.28,2.15,7.01,0.82,122.0
Patna,33.43,158.08,27.12,62.72,30.12,49.8,1.63,41.78,40.62,1.07,6.55,4.72,108.0
Lucknow,95.24,97.965,8.5,33.28,18.76,37.15,1.0,4.94,36.84,0.24,0.31,0.82,191.0
Gurugram,124.33,395.4,17.55,9.69,15.5,39.69,0.96,9.14,4.05,0.86,8.63,10.64,257.0
Mumbai,14.62,47.04,20.44,13.79,33.46,10.31,0.52,12.02,7.52,1.27,1.44,0.45,55.0
Amritsar,214.73,276.08,18.8,41.72,60.52,54.25,1.17,6.44,12.38,2.9,6.88,26.67,395.0
Jorapokhar,52.56,124.78,25.24,11.74,23.85,8.7,2.14,36.92,52.75,1.01,2.76,0.82,119.0
Visakhapatnam,36.88,82.95,8.42,33.99,24.67,9.1,0.53,12.06,13.83,4.42,10.65,2.96,95.0
Jaipur,42.39,98.69,3.61,24.81,22.72,19.77,0.85,18.85,84.46,0.75,3.3,0.82,135.0
Thiruvananthapuram,10.74,28.85,1.94,6.67,5.1,2.97,0.91,4.48,14.84,1.01,2.76,0.82,59.0
Jorapokhar,217.13,528.33,7.4,7.89,23.85,6.7,0.0,103.12,9.27,1.01,2.76,0.82,569.0
Other Cities,13.96,28.02,56.3,14.53,58.81,11.54,1.27,12.83,1.21,2.34,0.0,0.29,82.0
Gurugram,60.53,148.39,3.83,18.16,11.58,20.07,0.93,8.68,55.55,6.66,2.68,2.15,139.0
Patna,42.17,158.08,9.99,13.31,9.51,49.8,1.56,47.16,58.74,1.41,8.35,6.22,101.0
Delhi,87.55,178.57,20.95,54.45,67.44,46.05,1.22,10.51,69.36,3.63,11.88,2.7,226.0
Patna,158.76,158.08,19.71,15.05,15.86,49.8,2.32,24.61,53.49,4.29,32.71,18.39,334.0
Bengaluru,50.66,109.76,7.08,33.87,28.82,15.78,0.87,4.97,61.46,0.26,1.35,0.82,130.0
Bengaluru,13.85,70.46,5.69,8.83,8.32,8.42,14.36,3.82,8.78,15.28,4.57,0.82,157.0
Hyderabad,56.36,136.25,7.79,42.33,27.18,15.35,0.56,8.43,29.21,4.05,31.53,5.93,109.0
Lucknow,742.67,97.965,8.02,12.38,3.55,8.91,10.53,143.05857142857144,24.78,2.63,4.79,0.82,607.0
Bengaluru,10.21,81.53,6.9,28.47,0.0,24.05,0.47,5.14,25.61,0.5,0.51,0.82,52.0
Ahmedabad,24.51,141.54,34.65,82.95,66.32,16.645,34.65,63.4,50.965,3.94,16.02,0.65,696.0
Other Cities,37.81,56.66,1.73,12.98,8.31,20.69,0.63,14.68,36.53,0.6,1.94,0.14,55.0
Patna,72.62,158.08,5.51,14.51,7.0,49.8,1.03,36.52,101.24,1.35,17.9,4.68,189.0
Chennai,82.59,48.55,10.61,17.52,25.69,101.08,1.06,12.87,28.45,0.02,0.0,0.82,155.0
Ahmedabad,54.06,104.74,4.22,51.33,28.19,16.645,4.22,48.07,39.74,0.99,32.61,0.56,219.0
Delhi,31.43,67.5,11.78,32.97,28.54,32.27,0.81,11.32,36.98,1.81,16.39,0.27,112.0
Thiruvananthapuram,16.68,41.6,8.02,12.73,17.23,6.64,0.54,5.29,27.19,1.01,2.76,0.82,56.0
